Cotesia melanoscela,E-L 1,0.2266,1.8069,0.7678
Cotesia melanoscela,E-L 1,0.3329,2.3116,0.920
Cotesia melanoscela,E-L 2,0.3570,1.6452,0.8276
Cotesia melanoscela,E-L 3,0.2483,1.86,0.7060
Toxoptera aurantii,Pupa 1,1.289,2.454,-0.118
Toxoptera aurantii,Pupa 2,1.289,2.217,-0.09
Toxoptera aurantii,Pupa 3,1.1451,2.815,-0.287
Toxoptera aurantii,Pupa 4,1.086,2.713,0.047
Calosoma sycophanta,Larva 1,0.73581,2.4962,0.36367
Calosoma sycophanta,Larva 2,0.34389,2.0934,0.71385
Calosoma sycophanta,Larva 3,0.22415,2.5925,0.8093
Tenebrio molitor,Larva 1,1.0069,6.1255,0
Tenebrio molitor,Larva 2,1.0083,10.5887,0
Tenebrio molitor,Larva 3,1.014,9.3344,0
Tenebrio molitor,Larva 4,1.0027,7.0087,0
Tenebrio molitor,Larva 5,1.0101,6.4040,0
Tenebrio molitor,Larva 6,1.0221,7.1342,0
Tenebrio molitor,Larva 7,1.0197,9.1249,0
Tenebrio molitor,Larva 8,1.0428,7.6435,0
Tenebrio molitor,Larva 9,1.0153,8.9023,0
Tenebrio molitor,Larva 10,1.0221,10.7723,0
Tenebrio molitor,Larva 11,1.0236,9.2091,0
Tenebrio molitor,Larva 12,1.0112,8.5580,0
Tenebrio molitor,Larva 13,1.0128,8.6908,0
Cnaphalocrocis medinalis,Larva1,1.0260,6.1120,0
Cnaphalocrocis medinalis,Larva 2,1.0274,5.7348,0
Cnaphalocrocis medinalis,Larva 3,1.0116,3.8442,0
Cnaphalocrocis medinalis,Larva 4,1.0266,3.5166,0
Cnaphalocrocis medinalis,Larva 5,1.0536,4.5793,0
Cnaphalocrocis medinalis,Larva 6,1.0191,6.8307,0
Aulacorthum solani,Nymphae 1,0.9689,3.9127,0
Aulacorthum solani,Nymphae 2,0.9495,7.5089,0
Aulacorthum solani,Nymphae 3,0.9110,5.5967,0
Aulacorthum solani,Nymphae 4,0.9628,10.5490,0
Megachile rotundata,Larva 1,1.24629,1.505,0
Megachile rotundata,Larva 2,1.23296,1.7159,0
Megachile rotundata,Larva 3,1.24571,1.5080,0
Megachile rotundata,Larva 4,1.07214,2.7097,0.0650
Laodelphax striatellus ,Nymphae 1,0.9775,4.8415,0
Laodelphax striatellus ,Nymphae 2,0.9525,4.434,0
Laodelphax striatellus ,Nymphae 3,0.9577,4.3343,0
Laodelphax striatellus ,Nymphae 4,0.9653,3.6868,0
Laodelphax striatellus ,Nymphae 5,0.9631,3.6551,0
